id,floresta
10621,4
10622,1
10623,3
10624,4
10625,7
10626,3
10627,7
10628,4
10629,1
10630,4
10631,4
10632,2
10633,6
10634,1
10635,5
10636,6
10637,4
10638,2
10639,6
10640,3
10641,2
10642,7
10643,1
10644,5
10645,7
10646,7
10647,7
10648,1
10649,3
10650,4
10651,4
10652,6
10653,4
10654,7
10655,2
10656,5
10657,5
10658,1
10659,3
10660,2
10661,3
10662,5
10663,3
10664,5
10665,5
10666,4
10667,2
10668,5
10669,7
10670,3
10671,3
10672,2
10673,7
10674,4
10675,4
10676,7
10677,5
10678,4
10679,7
10680,4
10681,5
10682,3
10683,7
10684,6
10685,4
10686,4
10687,5
10688,3
10689,4
10690,3
10691,6
10692,6
10693,7
10694,3
10695,2
10696,4
10697,5
10698,4
10699,2
10700,7
10701,3
10702,3
10703,5
10704,1
10705,7
10706,4
10707,1
10708,6
10709,7
10710,6
10711,5
10712,2
10713,4
10714,1
10715,5
10716,3
10717,2
10718,5
10719,5
10720,2
10721,4
10722,2
10723,7
10724,4
10725,3
10726,6
10727,1
10728,7
10729,6
10730,2
10731,1
10732,5
10733,2
10734,2
10735,6
10736,1
10737,7
10738,4
10739,3
10740,5
10741,5
10742,1
10743,6
10744,4
10745,6
10746,3
10747,2
10748,7
10749,6
10750,5
10751,3
10752,4
10753,1
10754,3
10755,6
10756,1
10757,7
10758,5
10759,1
10760,4
10761,5
10762,7
10763,7
10764,5
10765,1
10766,1
10767,3
10768,5
10769,3
10770,2
10771,2
10772,7
10773,5
10774,4
10775,6
10776,3
10777,2
10778,4
10779,3
10780,3
10781,3
10782,2
10783,6
10784,7
10785,6
10786,2
10787,6
10788,2
10789,1
10790,6
10791,5
10792,6
10793,7
10794,2
10795,3
10796,3
10797,2
10798,7
10799,1
10800,4
10801,2
10802,6
10803,6
10804,1
10805,2
10806,6
10807,6
10808,1
10809,1
10810,3
10811,1
10812,4
10813,3
10814,3
10815,4
10816,4
10817,3
10818,4
10819,2
10820,1
10821,6
10822,6
10823,3
10824,1
10825,4
10826,2
10827,2
10828,6
10829,5
10830,2
10831,7
10832,7
10833,6
10834,7
10835,2
10836,4
10837,5
10838,7
10839,5
10840,5
10841,1
10842,6
10843,2
10844,7
10845,1
10846,3
10847,6
10848,5
10849,2
10850,5
10851,4
10852,6
10853,1
10854,6
10855,6
10856,4
10857,2
10858,5
10859,2
10860,6
10861,4
10862,7
10863,4
10864,7
10865,2
10866,5
10867,4
10868,2
10869,1
10870,1
10871,1
10872,6
10873,2
10874,2
10875,5
10876,3
10877,3
10878,6
10879,4
10880,3
10881,6
10882,5
10883,3
10884,4
10885,6
10886,2
10887,1
10888,3
10889,6
10890,1
10891,1
10892,5
10893,7
10894,7
10895,4
10896,2
10897,4
10898,7
10899,1
10900,6
10901,4
10902,1
10903,5
10904,7
10905,1
10906,1
10907,2
10908,2
10909,2
10910,3
10911,6
10912,1
10913,4
10914,3
10915,5
10916,1
10917,6
10918,6
10919,7
10920,5
10921,4
10922,1
10923,5
10924,1
10925,5
10926,4
10927,4
10928,6
10929,7
10930,3
10931,3
10932,4
10933,3
10934,5
10935,5
10936,1
10937,7
10938,4
10939,6
10940,6
10941,4
10942,6
10943,5
10944,3
10945,6
10946,1
10947,1
10948,5
10949,2
10950,4
10951,4
10952,3
10953,7
10954,4
10955,2
10956,4
10957,6
10958,2
10959,5
10960,5
10961,5
10962,2
10963,6
10964,5
10965,2
10966,7
10967,7
10968,5
10969,7
10970,6
10971,1
10972,2
10973,2
10974,5
10975,5
10976,3
10977,1
10978,7
10979,4
10980,7
10981,7
10982,5
10983,1
10984,7
10985,3
10986,5
10987,4
10988,7
10989,6
10990,5
10991,7
10992,2
10993,7
10994,2
10995,2
10996,5
10997,7
10998,2
10999,3
11000,4
11001,7
11002,1
11003,1
11004,5
11005,5
11006,5
11007,7
11008,6
11009,1
11010,5
11011,1
11012,6
11013,7
11014,4
11015,4
11016,6
11017,2
11018,3
11019,4
11020,1
11021,7
11022,6
11023,4
11024,6
11025,5
11026,4
11027,3
11028,6
11029,3
11030,3
11031,2
11032,6
11033,3
11034,3
11035,1
11036,1
11037,6
11038,7
11039,6
11040,4
11041,7
11042,3
11043,6
11044,2
11045,3
11046,7
11047,5
11048,3
11049,1
11050,2
11051,4
11052,1
11053,5
11054,4
11055,1
11056,2
11057,3
11058,7
11059,7
11060,4
11061,6
11062,1
11063,2
11064,2
11065,3
11066,2
11067,7
11068,2
11069,1
11070,4
11071,4
11072,6
11073,5
11074,3
11075,2
11076,7
11077,1
11078,6
11079,6
11080,6
11081,3
11082,2
11083,2
11084,4
11085,7
11086,1
11087,4
11088,7
11089,5
11090,2
11091,7
11092,5
11093,7
11094,6
11095,4
11096,1
11097,3
11098,3
11099,7
11100,2
11101,5
11102,6
11103,1
11104,2
11105,7
11106,1
11107,1
11108,4
11109,6
11110,6
11111,4
11112,1
11113,5
11114,5
11115,6
11116,7
11117,3
11118,7
11119,6
11120,5
11121,3
11122,4
11123,5
11124,6
11125,4
11126,1
11127,1
11128,6
11129,2
11130,5
11131,5
11132,4
11133,5
11134,7
11135,7
11136,4
11137,5
11138,1
11139,1
11140,1
11141,4
11142,4
11143,3
11144,7
11145,6
11146,3
11147,7
11148,3
11149,7
11150,3
11151,4
11152,1
11153,7
11154,3
11155,5
11156,3
11157,7
11158,5
11159,4
11160,7
11161,1
11162,3
11163,1
11164,4
11165,5
11166,6
11167,1
11168,6
11169,3
11170,7
11171,1
11172,7
11173,1
11174,5
11175,7
11176,4
11177,2
11178,4
11179,1
11180,4
11181,1
11182,3
11183,6
11184,7
11185,5
11186,6
11187,2
11188,6
11189,5
11190,1
11191,6
11192,6
11193,6
11194,1
11195,4
11196,7
11197,4
11198,5
11199,2
11200,7
11201,1
11202,2
11203,5
11204,7
11205,2
11206,3
11207,6
11208,6
11209,6
11210,4
11211,7
11212,7
11213,7
11214,5
11215,3
11216,2
11217,1
11218,6
11219,2
11220,4
11221,1
11222,4
11223,6
11224,2
11225,3
11226,7
11227,3
11228,6
11229,4
11230,5
11231,2
11232,2
11233,3
11234,1
11235,6
11236,4
11237,6
11238,2
11239,7
11240,3
11241,2
11242,3
11243,1
11244,6
11245,2
11246,7
11247,2
11248,2
11249,3
11250,5
11251,6
11252,2
11253,2
11254,2
11255,1
11256,5
11257,5
11258,4
11259,5
11260,4
11261,3
11262,5
11263,2
11264,4
11265,2
11266,4
11267,7
11268,4
11269,3
11270,7
11271,5
11272,3
11273,1
11274,5
11275,7
11276,7
11277,7
11278,3
11279,1
11280,6
11281,2
11282,2
11283,2
11284,1
11285,5
11286,3
11287,3
11288,6
11289,1
11290,4
11291,1
11292,2
11293,6
11294,4
11295,1
11296,1
11297,6
11298,4
11299,6
11300,1
11301,7
11302,3
11303,1
11304,6
11305,5
11306,3
11307,4
11308,6
11309,3
11310,2
11311,4
11312,6
11313,7
11314,2
11315,6
11316,5
11317,5
11318,6
11319,3
11320,3
11321,6
11322,5
11323,6
11324,6
11325,2
11326,4
11327,5
11328,5
11329,3
11330,2
11331,2
11332,4
11333,1
11334,1
11335,1
11336,2
11337,5
11338,7
11339,3
11340,5
