id,elevacao,aspeto,inclinacao,dh_agua,dv_agua,dh_estrada,sombra_9,sombra_12,sombra_15,dh_Incendio,area,solo,floresta
1,2596,51,3,258,0,510,221,232,148,6279,4,5,6
2,2785,155,18,242,118,3090,238,238,122,6211,4,5,3
3,2579,132,6,300,-15,67,230,237,140,6031,4,5,3
4,2606,45,7,270,5,633,222,225,138,6256,4,5,6
5,2605,49,4,234,7,573,222,230,144,6228,4,5,6
6,2612,59,10,247,11,636,228,219,124,6230,4,5,6
7,2612,201,4,180,51,735,218,243,161,6222,4,18,6
8,2742,134,22,150,69,3215,248,224,92,6091,4,5,3
9,2609,214,7,150,46,771,213,247,170,6211,4,18,6
10,2495,51,7,42,2,752,224,225,137,5576,4,7,6
11,2517,72,7,85,6,595,228,227,133,5607,4,18,6
12,2501,71,9,60,8,767,230,223,126,5547,4,18,6
13,2511,54,8,124,0,638,225,222,130,5569,4,18,6
14,2507,22,9,120,14,732,215,221,143,5534,4,18,6
15,2962,148,16,323,23,5916,240,236,120,3395,4,5,3
16,2811,135,1,212,30,3670,220,238,154,5643,4,12,3
17,2739,117,24,127,53,3281,253,210,71,6033,4,5,6
18,2703,122,30,67,27,3191,254,201,52,6123,4,5,6
19,2522,105,7,120,1,595,233,231,130,5569,4,18,6
20,2516,23,6,150,4,658,216,227,147,5541,4,18,6
21,2900,45,19,242,20,5199,221,195,100,4115,4,5,3
22,2709,125,28,67,23,3224,253,207,61,6094,4,5,6
23,2511,92,7,182,18,722,231,229,131,5494,4,18,6
24,2749,98,30,124,53,3316,252,183,36,6005,4,5,6
25,2686,354,12,0,0,3167,200,219,157,6155,4,5,6
26,2678,128,5,95,23,1660,229,236,141,6546,4,12,3
27,2498,66,6,95,7,900,227,227,135,5357,4,18,6
28,2713,117,30,60,17,3297,254,198,48,6039,4,5,6
29,2739,323,25,85,43,3118,149,205,192,6219,4,5,2
30,2510,79,14,192,19,891,237,215,106,5325,4,18,6
31,2502,81,7,175,11,912,230,227,129,5316,4,18,6
32,2722,315,24,30,19,3216,148,212,200,6132,4,7,2
33,2486,68,5,180,-4,870,225,230,139,5262,4,18,6
34,2952,107,11,42,7,5845,239,226,116,3509,4,5,3
35,2705,90,8,134,22,2023,232,228,129,6615,4,12,3
36,2500,49,14,150,27,870,225,210,116,5205,4,18,6
37,2509,59,7,134,10,900,226,226,134,5184,4,18,6
38,2740,54,6,218,42,2287,224,227,138,6686,4,12,3
39,2640,80,8,180,-2,1092,231,225,127,5866,4,5,3
40,3008,45,14,277,10,6371,223,208,116,3036,4,5,3
41,2864,118,18,201,74,4567,248,221,93,4849,4,5,3
42,2827,160,28,134,65,3948,235,233,108,5474,4,5,3
43,2529,326,5,30,14,1062,207,234,166,5047,4,7,3
44,2840,153,26,134,42,4613,241,231,102,4833,4,5,3
45,2795,79,10,531,96,2980,233,223,121,6497,4,6,2
46,2746,143,16,67,22,2440,241,235,119,6597,4,12,3
47,2847,352,26,150,82,3697,166,187,152,5796,4,5,2
48,2537,42,7,210,17,1132,222,224,137,4919,4,18,3
49,2860,358,17,175,98,3705,191,206,151,5800,4,5,2
50,2818,332,26,30,17,4526,151,197,181,4978,4,5,3
51,2801,18,7,560,58,3084,215,226,148,6457,4,12,3
52,2791,63,10,418,48,2942,229,221,124,6606,4,12,3
53,2514,102,6,272,-5,1082,230,233,137,4811,4,18,3
54,2788,13,16,30,8,4126,203,206,137,5396,4,5,3
55,2562,354,12,67,9,1057,200,218,156,5031,4,5,3
56,2978,71,10,426,85,5742,231,221,121,3792,4,5,3
57,3067,164,11,85,7,6811,230,243,144,2774,4,5,3
58,2562,59,3,0,0,1116,221,233,148,5091,4,7,3
