time inst proc1               proc2               proc3               proc4               proc5               proc6               proc7               proc8               proc9               proc10              proc11              proc12              proc13              proc14              proc15              proc16              proc17              proc18              proc19              proc20              
0         F0                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
1         F0                     F1                                                                                                                                                                                                                                                                                                                                                                                                                                                   
2         F0                     F1                     F2                                                                                                                                                                                                                                                                                                                                                                                                                            
3         F0,F3                  F1                     F2                                                                                                                                                                                                                                                                                                                                                                                                                            
4         F0,F3                  SIGSEGV                F2                                                                                                                                                                                                                                                                                                                                                                                                                            
5         F0,F3                                         F2,F1                                                                                                                                                                                                                                                                                                                                                                                                                         
6         F0,F3,F4                                      F2,F1                                                                                                                                                                                                                                                                                                                                                                                                                         
7         F0,F3,F4               F5                     F2,F1                                                                                                                                                                                                                                                                                                                                                                                                                         
8         F0,F3,F4               F5                     F2,F1,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
9         F0,F3,F4               F5                     F2,F1,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
10        F3,F4                  F0,F5                  F2,F1,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
11        F3,F4                  F0,F5                  F2,F1,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
12        F3,F4                  F0,F5                  F2,F1,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
13        F3,F4                  F0,F5                  F2,F1,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
14        F3,F4                  F0,F5                  F1,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
15        F3,F4                  F0,F5                  F1,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
16        F3,F4                  F0,F5                  F1,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
17        F3,F4                  F0,F5                  F1,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
18        F3,F4                  F0,F5                  F1,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
19        F3,F4                  F0,F5                  F1,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
20        F4                     F0,F5                  F3,F1,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
21        F4                     F0,F5                  F3,F1,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
22        F1,F4                  F0,F5                  F3,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
23        F1,F4                  SIGSEGV                F2,F3,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
24        F1,F4                  F0                     F3,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                      
25        F1,F4                  F0                     F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
26        F4,F1                  F0                     F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
27        F1,F4                  SIGSEGV                F2,F3,F5,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
28        F4,F1                                         F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
29        F4,F1                                         F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
30        F4,F1                                         F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
36        F4,F1                                         F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
37        F4,F1                  F0                     F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
38        F4,F1                  F0                     F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
39        F1,F4                  F0                     F2,F3,F5,F6            SIGSEGV                                                                                                                                                                                                                                                                                                                                                                                                
40        F1,F4                  F0                     F2,F3,F5,F6                                   SIGSEGV                                                                                                                                                                                                                                                                                                                                                                         
41        F1,F4                  F0                     F2,F3,F5,F6                                                          SIGSEGV                                                                                                                                                                                                                                                                                                                                                  
42        F1,F4                  F0                     F2,F3,F5,F6                                                                                 SIGSEGV                                                                                                                                                                                                                                                                                                                           
43        F1,F4                  F0                     F2,F3,F5,F6                                                                                                        SIGSEGV                                                                                                                                                                                                                                                                                                    
44        F1,F4                  F0                     F2,F3,F5,F6                                                                                                                               SIGSEGV                                                                                                                                                                                                                                                                             
45        F1,F4                  F0                     F2,F3,F5,F6                                                                                                                                                      SIGSEGV                                                                                                                                                                                                                                                      
46        F4,F1                  F0                     F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
47        F4,F1                  F0                     F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
48        F4,F1                  F0                     F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
49        F1,F4                  F0                     F2,F3,F5,F6                                   SIGSEGV                                                                                                                                                                                                                                                                                                                                                                         
50        F4,F1                  F0                     F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
51        F1,F4                  F0                     F2,F3,F5,F6                                                                                 SIGSEGV                                                                                                                                                                                                                                                                                                                           
52        F1,F4                  F0                     F2,F3,F5,F6                                                                                                                                                      SIGSEGV                                                                                                                                                                                                                                                      
53        F1,F4                  F0                     F2,F3,F5,F6                                                                                                                                                                                                    SIGSEGV                                                                                                                                                                                                        
54        F1,F4                  F0                     F2,F3,F5,F6                                                          SIGSEGV                                                                                                                                                                                                                                                                                                                                                  
55        F4,F1                  F0                     F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
56        F4,F1                  F0                     F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
57        F4,F1                  F0                     F3,F5,F2,F6                                                                                                                                                                                                                                                                                                                                                                                                                   
58        F1,F4                  F0                     F2,F3,F5,F6            SIGSEGV                                                                                                                                                                                                                                                                                                                                                                                                
59        F1,F4                  F0                     F2,F3,F5,F6                                   SIGSEGV                                                                                                                                                                                                                                                                                                                                                                         
